#UPDATE_DATE_F1,21/8/2026,,,,,,,,,,,,,,
#UPDATE_DATE_F2,26/8/2026,,,,,,,,,,,,,,
#UPDATE_DATE_F3,19/8/2026,,,,,,,,,,,,,,
หมวด,ITEM CODE,Ø (cm),ความยาว (m),Order,Site (หน่วยงาน),Stock (ท่อน),BOM (m³/ท่อน),Stock (m³),โรงงาน,รหัสประเภท,Area,ปีผลิต,ปีเสา,เหล็กเสริมพิเศษ,หมายเหตุ
CENTRAL3,S18A0900S02,18,9.0,(ว่าง),CENTRAL3,1,0.2916,0.2916,F3,S18,0.0324,,,,
CENTRAL3,S18A1800S04,18,18.0,(ว่าง),CENTRAL3,5,0.5832,2.9160,F3,S18,0.0324,,,,
CENTRAL3,S22A0800S04,22,8.0,(ว่าง),CENTRAL3,1,0.3872,0.3872,F3,S22,0.0484,,,,
CENTRAL3,S26A0500S04,26,5.0,(ว่าง),CENTRAL3,12,0.3380,4.0560,F3,S26,0.0676,,,,
CENTRAL3,S26A0800S00,26,8.0,(ว่าง),CENTRAL3,1,0.5408,0.5408,F3,S26,0.0676,,,,
CENTRAL3,S26A0800S04,26,8.0,(ว่าง),CENTRAL3,20,0.5408,10.8160,F3,S26,0.0676,,,,
CENTRAL3,S26A0900S04,26,9.0,(ว่าง),CENTRAL3,6,0.6084,3.6504,F3,S26,0.0676,,,,
CENTRAL3,S26A1200S04,26,12.0,(ว่าง),CENTRAL3,3,0.8112,2.4336,F3,S26,0.0676,,,,
CENTRAL3,S26A1300S05,26,13.0,(ว่าง),CENTRAL3,2,0.8788,1.7576,F3,S26,0.0676,,,,
CENTRAL3,S30A0700S05,30,7.0,(ว่าง),CENTRAL3,4,0.6300,2.5200,F3,S30,0.09,,,,
CENTRAL3,S30A0800E05029901,30,8.0,(ว่าง),CENTRAL3,4,0.7200,2.8800,F3,S30,0.09,,,,
CENTRAL3,S30A0800S00,30,8.0,(ว่าง),CENTRAL3,8,0.7200,5.7600,F3,S30,0.09,,,,
